No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,,* Some unusual results - in that the sub samples
1,B39,27801,ABR 15 FS,  Mx 1553#114,Block 1,R1,C1,1,13,7,6,,14.3,85.7,11.1,,,in some cases were heavier than the whole sample (FW)
2,B39,27810,ABR 15 FS,  Mx 1553#101,Block 1,R1,C2,1,454,136,92,,32.4,67.6,307.1,,,I have been able to allow in most cases for a tared bag left
3,B39,27819,ABR 15 FS,  Mx 1553#25,Block 1,R1,C3,1,116,93,76,,18.3,81.7,94.8,,,"on the balance, or if the Fresh sub weight was just a gram or two out"
4,B39,27827,ABR 15 FS,  Mx 1553#1,Block 1,R1,C4,1,295,122,98,,19.7,80.3,237.0,,,then I have adjusted to FW.
5,B39,27835,ABR 15 FS,  Mx 1553#45,Block 1,R1,C5,1,146,93,75,,19.4,80.6,117.7,,,As a note it was fairly windy during weighing on the field and there was often 
6,B39,61696,ABR 15 FS,  Goliath,Block 1,R1,C6,0,0,0,0,,,,,,,a problem with the signal between computer and balance (not talking)
7,B39,27852,ABR 15 FS,  Mx 1553#28,Block 1,R1,C7,1,142,122,102,,16.4,83.6,118.7,,,
8,B39,27861,ABR 15 FS,  Mx 1553#79,Block 1,R1,C8,1,40,40,33,,17.5,82.5,33.0,,,If in doubt - disregard any samples which have an added comment
9,B39,27870,ABR 15 FS,  Mx 1553#105,Block 1,R1,C9,1,136,125,96,,23.2,76.8,104.4,,,in the Fresh/ sub weights as these are where I have noted any
10,B39,27878,ABR 15 FS,  Mx 1553#48,Block 1,R1,C10,1,345,146,120,,17.8,82.2,283.6,,,alteration.
11,B39,27887,ABR 15 FS,  Mx 1553#120,Block 1,R1,C11,1,406,157,104,,33.8,66.2,268.9,,,
12,B39,27895,ABR 15 FS,  Mx 1553#74,Block 1,R1,C12,1,244,109,91,,16.5,83.5,203.7,,,Another thing to consider - some difference between weights of plastic bags?
13,B39,61697,ABR 15 FS,  Goliath,Block 1,R2,C12,1,490,151,108,,28.5,71.5,350.5,,,
14,B39,61698,ABR 15 FS,  Goliath,Block 1,R2,C11,0,0,0,0,,,,,,,
15,B39,27879,ABR 15 FS,  Mx 1553#4,Block 1,R2,C10,1,503,167,133,,20.4,79.6,400.6,,,
16,B39,27871,ABR 15 FS,  Mx 1553#77,Block 1,R2,C9,1,648,159,113,,28.9,71.1,460.5,,,
17,B39,27862,ABR 15 FS,  Mx 1553#110,Block 1,R2,C8,1,350,139,117,,15.8,84.2,294.6,,,
18,B39,27853,ABR 15 FS,  Mx 1553#6,Block 1,R2,C7,1,230,149,120,,19.5,80.5,185.2,,,
19,B39,27844,ABR 15 FS,  Mx 1553#36,Block 1,R2,C6,1,615,156,121,,22.4,77.6,477.0,,,
20,B39,27836,ABR 15 FS,  Mx 1553#43,Block 1,R2,C5,1,219,144,121,,16.0,84.0,184.0,,,
21,B39,27828,ABR 15 FS,  Mx 1553#3,Block 1,R2,C4,1,485,157,101,,35.7,64.3,312.0,,,
22,B39,27820,ABR 15 FS,  Mx 1553#116,Block 1,R2,C3,1,295,168,125,,25.6,74.4,219.5,,,
23,B39,27811,ABR 15 FS,  Mx 1553#55,Block 1,R2,C2,1,90,66,52,,21.2,78.8,70.9,,,
24,B39,27802,ABR 15 FS,  Mx 1553#12,Block 1,R2,C1,1,362,144,107,,25.7,74.3,269.0,,,
25,B39,27803,ABR 15 FS,  Mx 1553#47,Block 1,R3,C1,1,652,161,132,,18.0,82.0,534.6,,,
26,B39,27812,ABR 15 FS,  Mx 1553#115,Block 1,R3,C2,1,48,46,38,,17.4,82.6,39.7,,,
27,B39,27821,ABR 15 FS,  Mx 1553#66,Block 1,R3,C3,1,42,36,24,,33.3,66.7,28.0,,,
28,B39,61699,ABR 15 FS,  Goliath,Block 1,R3,C4,1,153,116,90.2,,22.2,77.8,119.0,,,
29,B39,27837,ABR 15 FS,  Mx 1553#23,Block 1,R3,C5,1,309,127,104,,18.1,81.9,253.0,,,
30,B39,27845,ABR 15 FS,  Mx 1553#37,Block 1,R3,C6,1,122,112,93,,17.0,83.0,101.3,,,
31,B39,27854,ABR 15 FS,  Mx 1553#71,Block 1,R3,C7,1,49,41,33,,19.5,80.5,39.4,,,
32,B39,27863,ABR 15 FS,  Mx 1553#109,Block 1,R3,C8,1,149,115,94,,18.3,81.7,121.8,,,
33,B39,27872,ABR 15 FS,  Mx 1553#89,Block 1,R3,C9,1,284,135,114,,15.6,84.4,239.8,,,
34,B39,27880,ABR 15 FS,  Mx 1553#73,Block 1,R3,C10,1,365,183,145,,20.8,79.2,289.2,,,
35,B39,27888,ABR 15 FS,  Mx 1553#7,Block 1,R3,C11,1,301,135,106,,21.5,78.5,236.3,,,
36,B39,27896,ABR 15 FS,  Mx 1553#2,Block 1,R3,C12,1,288,182,141,,22.5,77.5,223.1,,,
37,B39,27897,ABR 15 FS,  Mx 1553#10,Block 1,R4,C12,1,442,141,110,,22.0,78.0,344.8,,,
38,B39,27889,ABR 15 FS,  Mx 1553#103,Block 1,R4,C11,0,0,0,0,,,,,,,
39,B39,27881,ABR 15 FS,  Mx 1553#20,Block 1,R4,C10,0,0,0,0,,,,,,,
40,B39,27873,ABR 15 FS,  Mx 1553#5,Block 1,R4,C9,1,9,9,6,,33.3,66.7,6.0,,,
41,B39,27864,ABR 15 FS,  Mx 1553#80,Block 1,R4,C8,1,617,160,123,,23.1,76.9,474.3,,,
42,B39,27855,ABR 15 FS,  Mx 1553#86,Block 1,R4,C7,1,120,102,84,,17.6,82.4,98.8,,,
43,B39,27846,ABR 15 FS,  Mx 1553#90,Block 1,R4,C6,1,90,78,53,,32.1,67.9,61.2,,,
44,B39,27838,ABR 15 FS,  Mx 1553#15,Block 1,R4,C5,1,180,138,115,,16.7,83.3,150.0,,,
45,B39,27829,ABR 15 FS,  Mx 1553#32,Block 1,R4,C4,1,59,58,44,,24.1,75.9,44.8,,,
46,B39,27822,ABR 15 FS,  Mx 1553#61,Block 1,R4,C3,1,230,158,130,,17.7,82.3,189.2,,,
47,B39,27813,ABR 15 FS,  Mx 1553#75,Block 1,R4,C2,1,226,172,125,,27.3,72.7,164.2,,,
48,B39,27804,ABR 15 FS,  Mx 1553#24,Block 1,R4,C1,1,593,159,134,,15.7,84.3,499.8,,,
49,B39,27805,ABR 15 FS,  Mx 1553#17,Block 1,R5,C1,1,187,140,94,,32.9,67.1,125.6,,,
50,B39,27814,ABR 15 FS,  Mx 1553#97,Block 1,R5,C2,1,270,176,137,,22.2,77.8,210.2,,,
51,B39,27823,ABR 15 FS,  Mx 1553#57,Block 1,R5,C3,1,206,147,121,,17.7,82.3,169.6,,,
52,B39,27830,ABR 15 FS,  Mx 1553#67,Block 1,R5,C4,1,131,131,92,,29.8,70.2,92.0,,,
53,B39,27839,ABR 15 FS,  Mx 1553#88,Block 1,R5,C5,1,253,172,139,,19.2,80.8,204.5,,,
54,B39,27847,ABR 15 FS,  Mx 1553#51,Block 1,R5,C6,1,185,136,84,,38.2,61.8,114.3,,,
55,B39,27856,ABR 15 FS,  Mx 1553#94,Block 1,R5,C7,1,217,121,98,,19.0,81.0,175.8,,,
56,B39,27865,ABR 15 FS,  Mx 1553#8,Block 1,R5,C8,1,539,153,104,,32.0,68.0,366.4,,,
57,B39,27874,ABR 15 FS,  Mx 1553#22,Block 1,R5,C9,1,531,151,111,,26.5,73.5,390.3,,,
58,B39,27882,ABR 15 FS,  Mx 1553#92,Block 1,R5,C10,1,827,168,131,,22.0,78.0,644.9,,,
59,B39,27890,ABR 15 FS,  Mx 1553#84,Block 1,R5,C11,1,157,109,81,,25.7,74.3,116.7,,,
60,B39,27898,ABR 15 FS,  Mx 1553#60,Block 1,R5,C12,1,382,165,126,,23.6,76.4,291.7,,,
61,B39,27899,ABR 15 FS,  Mx 1553#82,Block 1,R6,C12,1,628,140,109,,22.1,77.9,488.9,,,
62,B39,27891,ABR 15 FS,  Mx 1553#104,Block 1,R6,C11,1,413,127,102,,19.7,80.3,331.7,,,
63,B39,27883,ABR 15 FS,  Mx 1553#59,Block 1,R6,C10,1,338,153,106,,30.7,69.3,234.2,,,
64,B39,27875,ABR 15 FS,  Mx 1553#119,Block 1,R6,C9,1,457,113,94,,16.8,83.2,380.2,,,
65,B39,27866,ABR 15 FS,  Mx 1553#98,Block 1,R6,C8,1,209,125,83,,33.6,66.4,138.8,,,
66,B39,27857,ABR 15 FS,  Mx 1553#39,Block 1,R6,C7,1,752,168,142,,15.5,84.5,635.6,,,
67,B39,27848,ABR 15 FS,  Mx 1553#78,Block 1,R6,C6,1,33,33,23,,30.3,69.7,23.0,,,
68,B39,27840,ABR 15 FS,  Mx 1553#118,Block 1,R6,C5,0,0,0,0,,,,,,,
69,B39,27831,ABR 15 FS,  Mx 1553#95,Block 1,R6,C4,0,0,0,0,,,,,,,
70,B39,27824,ABR 15 FS,  Mx 1553#117,Block 1,R6,C3,1,272,147,120,,18.4,81.6,222.0,,,
71,B39,27815,ABR 15 FS,  Mx 1553#112,Block 1,R6,C2,1,28,28,20,,28.6,71.4,20.0,,,
72,B39,27806,ABR 15 FS,  Mx 1553#102,Block 1,R6,C1,1,200,128,106,,17.2,82.8,165.6,,,
73,B39,27807,ABR 15 FS,  Mx 1553#76,Block 1,R7,C1,1,183,116,86,,25.9,74.1,135.7,,,
74,B39,27816,ABR 15 FS,  Mx 1553#113,Block 1,R7,C2,1,332,142,118,,16.9,83.1,275.9,,,
75,B39,B24,ABR 15 FS,DISCARD PLANT,Block 1,R7,C3,0,ABR 15 FS B1-R7 C3,,,,,,,,,
76,B39,27832,ABR 15 FS,  Mx 1553#42,Block 1,R7,C4,1,12,12,9,,25.0,75.0,9.0,,,
77,B39,27841,ABR 15 FS,  Mx 1553#40,Block 1,R7,C5,1,81,62,45,,27.4,72.6,58.8,,,
78,B39,27849,ABR 15 FS,  Mx 1553#68,Block 1,R7,C6,1,149,115,87,,24.3,75.7,112.7,,,
79,B39,27858,ABR 15 FS,  Mx 1553#14,Block 1,R7,C7,1,71,62,44,,29.0,71.0,50.4,,,
80,B39,27867,ABR 15 FS,  Mx 1553#69,Block 1,R7,C8,1,590,189,147,,22.2,77.8,458.9,,,
81,B39,27876,ABR 15 FS,  Mx 1553#16,Block 1,R7,C9,1,254,156,113,,27.6,72.4,184.0,,,
82,B39,27884,ABR 15 FS,  Mx 1553#81,Block 1,R7,C10,1,27,27,22,,18.5,81.5,22.0,,,
83,B39,27892,ABR 15 FS,  Mx 1553#26,Block 1,R7,C11,0,0,0,0,,,,,,,
84,B39,27900,ABR 15 FS,  Mx 1553#44,Block 1,R7,C12,1,247,161,109,,32.3,67.7,167.2,,,
85,B39,27901,ABR 15 FS,  Mx 1553#91,Block 1,R8,C12,1,99,92,63,,31.5,68.5,67.8,,,
86,B39,27893,ABR 15 FS,  Mx 1553#99,Block 1,R8,C11,1,283,140,113,,19.3,80.7,228.4,,,
87,B39,27885,ABR 15 FS,  Mx 1553#72,Block 1,R8,C10,1,294,133,96,,27.8,72.2,212.2,,,
88,B39,27877,ABR 15 FS,  Mx 1553#18,Block 1,R8,C9,1,432,189,123,,34.9,65.1,281.1,,,
89,B39,27868,ABR 15 FS,  Mx 1553#93,Block 1,R8,C8,1,631,204,136,,33.3,66.7,420.7,,,
90,B39,27859,ABR 15 FS,  Mx 1553#41,Block 1,R8,C7,1,459,177,122,,31.1,68.9,316.4,,,
91,B39,27850,ABR 15 FS,  Mx 1553#53,Block 1,R8,C6,1,804,195,157,,19.5,80.5,647.3,,,
92,B39,27842,ABR 15 FS,  Mx 1553#70,Block 1,R8,C5,1,343,135,112,,17.0,83.0,284.6,,,
93,B39,27833,ABR 15 FS,  Mx 1553#34,Block 1,R8,C4,1,544,180,115,,36.1,63.9,347.6,,,
94,B39,27825,ABR 15 FS,  Mx 1553#19,Block 1,R8,C3,1,400,179,121,,32.4,67.6,270.4,,,
95,B39,27817,ABR 15 FS,  Mx 1553#108,Block 1,R8,C2,1,452,187,139,,25.7,74.3,336.0,,,
96,B39,27808,ABR 15 FS,  Mx 1553#27,Block 1,R8,C1,1,293,224,150,,33.0,67.0,196.2,,,
97,B39,27809,ABR 15 FS,  Mx 1553#50,Block 1,R9,C1,1,123,105,62,,41.0,59.0,72.6,,,
98,B39,27818,ABR 15 FS,  Mx 1553#11,Block 1,R9,C2,1,382,159,131,,17.6,82.4,314.7,,,
99,B39,27826,ABR 15 FS,  Mx 1553#100,Block 1,R9,C3,1,134,127,79,,37.8,62.2,83.4,,,
100,B39,27834,ABR 15 FS,  Mx 1553#35,Block 1,R9,C4,1,445,210,132,,37.1,62.9,279.7,,,
101,B39,27843,ABR 15 FS,  Mx 1553#46,Block 1,R9,C5,1,321,192,111,,42.2,57.8,185.6,,,
102,B39,27851,ABR 15 FS,  Mx 1553#63,Block 1,R9,C6,1,505,183,130,,29.0,71.0,358.7,,,
103,B39,27860,ABR 15 FS,  Mx 1553#9,Block 1,R9,C7,1,85,68,42,,38.2,61.8,52.5,,,
104,B39,27869,ABR 15 FS,  Mx 1553#49,Block 1,R9,C8,1,797,195,161,,17.4,82.6,658.0,,,
105,B39,61700,ABR 15 FS,  Goliath,Block 1,R9,C9,1,117,107,78,,27.1,72.9,85.3,,,
106,B39,27886,ABR 15 FS,  Mx 1553#56,Block 1,R9,C10,1,160,137,105,,23.4,76.6,122.6,,,
107,B39,27894,ABR 15 FS,  Mx 1553#87,Block 1,R9,C11,1,251,148,112,,24.3,75.7,189.9,,,
108,B39,27902,ABR 15 FS,  Mx 1553#96,Block 1,R9,C12,1,514,204,134,,34.3,65.7,337.6,,,
109,B39,27903,ABR 15 FS,  Mx 1553#10,Block 2,R1,C1,1,434,169,137,,18.9,81.1,351.8,,,
110,B39,27912,ABR 15 FS,  Mx 1553#59,Block 2,R1,C2,0,0,0,0,,,,,,,
111,B39,27921,ABR 15 FS,  Mx 1553#60,Block 2,R1,C3,1,455,174,123,,29.3,70.7,321.6,,,
112,B39,27930,ABR 15 FS,  Mx 1553#55,Block 2,R1,C4,1,559,186,141,,24.2,75.8,423.8,,,
113,B39,27939,ABR 15 FS,  Mx 1553#104,Block 2,R1,C5,1,621,174,132,,24.1,75.9,471.1,,,
114,B39,27948,ABR 15 FS,  Mx 1553#56,Block 2,R1,C6,1,148,38,94,,-147.4,247.4,366.1,,,
115,B39,27956,ABR 15 FS,  Mx 1553#70,Block 2,R1,C7,1,290,131,105,,19.8,80.2,232.4,,,
116,B39,27965,ABR 15 FS,  Mx 1553#28,Block 2,R1,C8,0,0,0,0,,,,,,,
117,B39,27973,ABR 15 FS,  Mx 1553#68,Block 2,R1,C9,1,276,185,141,,23.8,76.2,210.4,,,
118,B39,27981,ABR 15 FS,  Mx 1553#78,Block 2,R1,C10,1,0,0,0,,,,,,,
119,B39,27990,ABR 15 FS,  Mx 1553#94,Block 2,R1,C11,0,0,0,0,,,,,,,
120,B39,27997,ABR 15 FS,  Mx 1553#113,Block 2,R1,C12,0,0,0,0,,,,,,,
121,B39,27998,ABR 15 FS,  Mx 1553#86,Block 2,R2,C12,1,372,142,112,,21.1,78.9,293.4,,,
122,B39,27991,ABR 15 FS,  Mx 1553#115,Block 2,R2,C11,1,324,135,111,,17.8,82.2,266.4,,,
123,B39,27982,ABR 15 FS,  Mx 1553#97,Block 2,R2,C10,1,261,179,130,,27.4,72.6,189.6,,,
124,B39,27974,ABR 15 FS,  Mx 1553#119,Block 2,R2,C9,1,313,142,111,,21.8,78.2,244.7,,,
125,B39,27966,ABR 15 FS,  Mx 1553#40,Block 2,R2,C8,1,242,177,128,,27.7,72.3,175.0,,,
126,B39,27957,ABR 15 FS,  Mx 1553#117,Block 2,R2,C7,0,0,0,0,,,,,,,
127,B39,27949,ABR 15 FS,  Mx 1553#46,Block 2,R2,C6,1,489,256,139,,45.7,54.3,265.5,,,
128,B39,27940,ABR 15 FS,  Mx 1553#96,Block 2,R2,C5,1,465,161,113,,29.8,70.2,326.4,,,
129,B39,27931,ABR 15 FS,  Mx 1553#110,Block 2,R2,C4,1,521,180,148,,17.8,82.2,428.4,,,
130,B39,27922,ABR 15 FS,  Mx 1553#98,Block 2,R2,C3,1,333,182,125,,31.3,68.7,228.7,,,
131,B39,27913,ABR 15 FS,  Mx 1553#89,Block 2,R2,C2,1,399,160,124,,22.5,77.5,309.2,,,
132,B39,27904,ABR 15 FS,  Mx 1553#91,Block 2,R2,C1,1,191,168,119,,29.2,70.8,135.3,,,
133,B39,27905,ABR 15 FS,  Mx 1553#27,Block 2,R3,C1,1,90,80,54,,32.5,67.5,60.8,,,
134,B39,27914,ABR 15 FS,  Mx 1553#4,Block 2,R3,C2,1,240,138,93,,32.6,67.4,161.7,,,
135,B39,27923,ABR 15 FS,  Mx 1553#25,Block 2,R3,C3,1,118,100,79,,21.0,79.0,93.2,,,
136,B39,27932,ABR 15 FS,  Mx 1553#118,Block 2,R3,C4,1,105,92,63,,31.5,68.5,71.9,,,
137,B39,27941,ABR 15 FS,  Mx 1553#90,Block 2,R3,C5,1,167,135,91,,32.6,67.4,112.6,,,
138,B39,27950,ABR 15 FS,  Mx 1553#75,Block 2,R3,C6,1,327,184,121,,34.2,65.8,215.0,,,
139,B39,27958,ABR 15 FS,  Mx 1553#22,Block 2,R3,C7,1,556,187,141,,24.6,75.4,419.2,,,
140,B39,27967,ABR 15 FS,  Mx 1553#103,Block 2,R3,C8,1,589,167,124,,25.7,74.3,437.3,,,
141,B39,27975,ABR 15 FS,  Mx 1553#16,Block 2,R3,C9,1,223,162,113,,30.2,69.8,155.5,,,
142,B39,27983,ABR 15 FS,  Mx 1553#49,Block 2,R3,C10,1,430,181,135,,25.4,74.6,320.7,,,
143,B39,27992,ABR 15 FS,  Mx 1553#92,Block 2,R3,C11,1,342,130,109,,16.2,83.8,286.8,,,
144,B39,27999,ABR 15 FS,  Mx 1553#100,Block 2,R3,C12,0,0,0,0,,,,,,,
145,B39,28000,ABR 15 FS,  Mx 1553#35,Block 2,R4,C12,1,717,200,142,,29.0,71.0,509.1,,,
146,B39,61701,ABR 15 FS,  Goliath,Block 2,R4,C11,1,327,170,117,,31.2,68.8,225.1,,,
147,B39,27984,ABR 15 FS,  Mx 1553#102,Block 2,R4,C10,1,130,111,89,,19.8,80.2,104.2,,,
148,B39,27976,ABR 15 FS,  Mx 1553#72,Block 2,R4,C9,1,523,134,103,,23.1,76.9,402.0,,,
149,B39,27968,ABR 15 FS,  Mx 1553#79,Block 2,R4,C8,1,177,146,104,,28.8,71.2,126.1,,,
150,B39,27959,ABR 15 FS,  Mx 1553#6,Block 2,R4,C7,1,85,85,54,,36.5,63.5,54.0,,,
151,B39,27951,ABR 15 FS,  Mx 1553#50,Block 2,R4,C6,1,600,158,103,,34.8,65.2,391.1,,,
152,B39,27942,ABR 15 FS,  Mx 1553#44,Block 2,R4,C5,1,384,184,125,,32.1,67.9,260.9,,,
153,B39,27933,ABR 15 FS,  Mx 1553#39,Block 2,R4,C4,1,950,202,150,,25.7,74.3,705.4,,,
154,B39,27924,ABR 15 FS,  Mx 1553#93,Block 2,R4,C3,1,547,243,122,,49.8,50.2,274.6,,,
155,B39,27915,ABR 15 FS,  Mx 1553#84,Block 2,R4,C2,1,133,88,69,,21.6,78.4,104.3,,,
156,B39,27906,ABR 15 FS,  Mx 1553#77,Block 2,R4,C1,1,971,181,137,,24.3,75.7,735.0,,,
157,B39,27907,ABR 15 FS,  Mx 1553#47,Block 2,R5,C1,1,617,130,113,,13.1,86.9,536.3,,,
158,B39,27916,ABR 15 FS,  Mx 1553#43,Block 2,R5,C2,1,504,159,134,,15.7,84.3,424.8,,,
159,B39,27925,ABR 15 FS,  Mx 1553#88,Block 2,R5,C3,1,273,173,130,,24.9,75.1,205.1,,,
